current_pos,player_first_last,current_score,current_points,R1,R2,R3,R4,TOT,EARNINGS,FEDEX PTS,tourney_num,event_name
CUT,Brian Harman,CUT,0,73,67,69,--,209,--,0,2,The American Express
CUT,Jeffrey Kang,CUT,0,73,67,69,--,209,--,0,2,The American Express
CUT,Vince Whaley,CUT,0,63,77,69,--,209,--,0,2,The American Express
CUT,Sami Valimaki,CUT,0,69,70,70,--,209,--,0,2,The American Express
CUT,Dan Brown,CUT,0,67,71,71,--,209,--,0,2,The American Express
CUT,Frankie Capan III,CUT,0,71,66,72,--,209,--,0,2,The American Express
CUT,Alex Noren,CUT,0,68,69,72,--,209,--,0,2,The American Express
CUT,Kevin Yu,CUT,0,66,71,72,--,209,--,0,2,The American Express
CUT,Patton Kizzire,CUT,0,69,67,73,--,209,--,0,2,The American Express
CUT,Michael Thorbjornsen,CUT,0,66,65,78,--,209,--,0,2,The American Express
CUT,John VanDerLaan,CUT,0,74,69,67,--,210,--,0,2,The American Express
CUT,Aldrich Potgieter,CUT,0,73,69,68,--,210,--,0,2,The American Express
CUT,Marcelo Rozo,CUT,0,71,70,69,--,210,--,0,2,The American Express
CUT,Kensei Hirata,CUT,0,69,72,69,--,210,--,0,2,The American Express
CUT,Chan Kim,CUT,0,69,67,74,--,210,--,0,2,The American Express
CUT,S.T. Lee,CUT,0,68,68,74,--,210,--,0,2,The American Express
CUT,William Mouw,CUT,0,66,70,74,--,210,--,0,2,The American Express
CUT,Mackenzie Hughes,CUT,0,72,72,67,--,211,--,0,2,The American Express
CUT,Jhonattan Vegas,CUT,0,70,72,69,--,211,--,0,2,The American Express
CUT,Neal Shipley,CUT,0,72,69,70,--,211,--,0,2,The American Express
CUT,Gordon Sargent,CUT,0,69,69,73,--,211,--,0,2,The American Express
CUT,Nico Echavarria,CUT,0,67,63,81,--,211,--,0,2,The American Express
CUT,Joe Highsmith,CUT,0,70,71,71,--,212,--,0,2,The American Express
CUT,Chandler Blanchet,CUT,0,69,69,74,--,212,--,0,2,The American Express
CUT,Isaiah Salinda,CUT,0,68,70,74,--,212,--,0,2,The American Express
CUT,Mark Hubbard,CUT,0,66,78,69,--,213,--,0,2,The American Express
CUT,Patrick Fishburn,CUT,0,68,70,75,--,213,--,0,2,The American Express
CUT,Matti Schmid,CUT,0,67,69,77,--,213,--,0,2,The American Express
CUT,Sepp Straka,CUT,0,72,74,68,--,214,--,0,2,The American Express
CUT,Michael Block,CUT,0,73,70,71,--,214,--,0,2,The American Express
CUT,Jackson Suber,CUT,0,66,71,77,--,214,--,0,2,The American Express
CUT,Brian Campbell,CUT,0,74,70,71,--,215,--,0,2,The American Express
CUT,Akshay Bhatia,CUT,0,68,69,78,--,215,--,0,2,The American Express
CUT,Charley Hoffman,CUT,0,72,74,70,--,216,--,0,2,The American Express
CUT,Justin Lower,CUT,0,71,75,70,--,216,--,0,2,The American Express
CUT,Adam Long,CUT,0,73,69,74,--,216,--,0,2,The American Express
CUT,Adam Schenk,CUT,0,75,70,73,--,218,--,0,2,The American Express
CUT,Jimmy Stanger,CUT,0,77,70,72,--,219,--,0,2,The American Express
CUT,Cam Davis,CUT,0,70,74,75,--,219,--,0,2,The American Express
CUT,Christo Lamprecht,CUT,0,77,67,76,--,220,--,0,2,The American Express
CUT,Alejandro Tosti,CUT,0,78,68,75,--,221,--,0,2,The American Express
CUT,Andrew Landry,CUT,0,71,77,74,--,222,--,0,2,The American Express
CUT,Pontus Nyholm,CUT,0,78,70,78,--,226,--,0,2,The American Express
WD,Ludvig Aberg,WD,0,68,67,--,--,135,--,0,2,The American Express
WD,Luke Clanton,WD,0,70,--,--,--,70,--,0,2,The American Express
WD,Rico Hoey,WD,0,77,--,--,--,77,--,0,2,The American Express
WD,Nick Dunlap,WD,0,77,--,--,--,151,--,0,2,The American Express
